index,nfd-1-cps,nfd-1-cr,rr-active-state,rr-position,ss1-active-state,ss1-position,ss2-active-state,ss2-position
193154,0.156951706,0.000950289,1,0.00078146,1,0.840807502,1,0.742205224
193155,0.150430006,0.000986149,1,0.00078146,1,0.838887973,1,0.738557947
193156,0.14369275,0.000887534,1,0.000795932,1,0.834173953,1,0.734345459
193157,0.137707818,0.000896499,1,0.000793037,1,0.831471396,1,0.730741508
193158,0.132455206,0.000905464,1,0.000784355,1,0.829646972,1,0.727310861
193159,0.126213228,0.000860639,1,0.000787249,1,0.826735184,1,0.723777808
193160,0.120807846,0.000905464,1,0.000790143,1,0.823306662,1,0.719923746
193161,0.115985709,0.001030974,1,0.000790143,1,0.819177535,1,0.716325703
193162,0.111702901,0.001022009,1,0.000784355,1,0.816398894,1,0.712483457
193163,0.107403418,0.001022009,1,0.000787249,1,0.812811864,1,0.708922832
193164,0.102252018,0.001039939,1,0.000784355,1,0.80976376,1,0.705151484
193165,0.097906287,0.001004079,1,0.000790143,1,0.808383158,1,0.701606614
193166,0.094123372,0.001030974,1,0.000787249,1,0.80567426,1,0.698244895
193167,0.090301522,0.000932359,1,0.000790143,1,0.802741867,1,0.694485364
193168,0.086450639,0.000914429,1,0.00080172,1,0.7994243,1,0.690436334
193169,0.082755791,0.000959254,1,0.000793037,1,0.796380951,1,0.686897372
193170,0.079648945,0.001075799,1,0.000790143,1,0.793844827,1,0.683586857
193171,0.076267824,0.001057869,1,0.000793037,1,0.790772947,1,0.679819448
193172,0.073252985,0.001048904,1,0.000793037,1,0.78786116,1,0.676221405
193173,0.070279922,0.000977184,1,0.000793037,1,0.78447702,1,0.672245242
193174,0.067597366,0.000914429,1,0.000793037,1,0.781655582,1,0.668597964
193175,0.06489667,0.000833744,1,0.000790143,1,0.779030693,1,0.665480448
193176,0.062054685,0.000842709,1,0.00080172,1,0.776112566,1,0.661657896
193177,0.059414084,0.000860639,1,0.000790143,1,0.773508284,1,0.658233158
193178,0.057319394,0.001004079,1,0.000793037,1,0.770556869,1,0.654457871
193179,0.054889256,0.001039939,1,0.000795932,1,0.767453288,1,0.650566391
193180,0.052694548,0.001022009,1,0.000790143,1,0.764877537,1,0.647242091
193181,0.050135765,0.000968219,1,0.000790143,1,0.762130598,1,0.643647987
193182,0.048097705,0.000851674,1,0.00080172,1,0.75921247,1,0.639963291
193183,0.046355896,0.000833744,1,0.000790143,1,0.756360916,1,0.636479471
193184,0.044514482,0.000869604,1,0.000793037,1,0.753390481,1,0.632735694
193185,0.042970028,0.000878569,1,0.000798826,1,0.750626106,1,0.629202641
193186,0.041201314,0.000851674,1,0.000795932,1,0.747628724,1,0.62543917
193187,0.039396198,0.000914429,1,0.000793037,1,0.744824722,1,0.621854912
193188,0.037980135,0.000995114,1,0.000793037,1,0.741288414,1,0.617579405
193189,0.036559939,0.000995114,1,0.00078146,1,0.737531781,1,0.614548541
193190,0.035013437,0.000986149,1,0.000787249,1,0.736141668,1,0.611023365
193191,0.033699965,0.000851674,1,0.00078146,1,0.733085639,1,0.607244139
193192,0.032405777,0.000851674,1,0.000778566,1,0.730180192,1,0.603671698
193193,0.031225933,0.000896499,1,0.000795932,1,0.727436423,1,0.600437988
193194,0.030011469,0.000860639,1,0.000790143,1,0.724226641,1,0.596617406
193195,0.028933726,0.000887534,1,0.000793037,1,0.720509634,1,0.592586101
193196,0.027588234,0.000941324,1,0.000790143,1,0.71611897,1,0.588925038
193197,0.026768458,0.000977184,1,0.000793037,1,0.715131466,1,0.58559089
193198,0.02581518,0.000941324,1,0.00080172,1,0.712080192,1,0.582000725
193199,0.024836673,0.000923394,1,0.000787249,1,0.708737264,1,0.578201806
193200,0.023940589,0.001030974,1,0.000795932,1,0.705204126,1,0.574239428
193201,0.023065689,0.001022009,1,0.000795932,1,0.702641056,1,0.571084494
193202,0.02219347,0.001013044,1,0.000793037,1,0.699662696,1,0.567346625
193203,0.021331973,0.000977184,1,0.000790143,1,0.696397436,1,0.563593002
193204,0.020544562,0.000986149,1,0.000798826,1,0.693425416,1,0.560122968
193205,0.0198424,0.000986149,1,0.000793037,1,0.689952511,1,0.555888817
193206,0.019121203,0.000950289,1,0.000790143,1,0.685092664,1,0.552718128
193207,0.018431935,0.000959254,1,0.000793037,1,0.684062363,1,0.548996014
193208,0.017668638,0.000959254,1,0.00080172,1,0.68123617,1,0.545447205
193209,0.017068469,0.000959254,1,0.000790143,1,0.678200747,1,0.541622684
193210,0.016471112,0.000977184,1,0.000787249,1,0.675490264,1,0.538331863
193211,0.015799703,0.000869604,1,0.000787249,1,0.672250366,1,0.534353731
193212,0.015247692,0.000896499,1,0.000778566,1,0.669300537,1,0.530840371
193213,0.014629405,0.000878569,1,0.000787249,1,0.666265114,1,0.527169461
193214,0.014180657,0.000824779,1,0.000787249,1,0.662020276,1,0.523683672
193215,0.013660235,0.000869604,1,0.000795932,1,0.660839394,1,0.520404667
193216,0.013217266,0.000851674,1,0.000790143,1,0.65789432,1,0.516916908
193217,0.012742305,0.000896499,1,0.000798826,1,0.651007158,1,0.512749716
193218,0.012344764,0.000923394,1,0.000787249,1,0.651882121,1,0.509220601
193219,0.011879696,0.000959254,1,0.000778566,1,0.649395134,1,0.505927811
