index,nfd-1-cps,nfd-1-cr,rr-active-state,rr-position,ss1-active-state,ss1-position,ss2-active-state,ss2-position
2717,0.75258322,0.301564391,0,0.872199406,0,0.999927086,0,0.918775208
2718,0.750861062,0.298301134,0,0.872199406,0,0.999923916,0,0.91876733
2719,0.751148088,0.298085974,0,0.872213877,0,0.999933427,0,0.918783085
2720,0.751148088,0.300318257,0,0.8722023,0,0.999923916,0,0.918771269
2721,0.751435115,0.302971895,0,0.872210983,0,0.999920746,0,0.9187693
2722,0.75258322,0.30272984,0,0.872205194,0,0.999917576,0,0.918765361
2723,0.752296194,0.300138957,0,0.87218204,0,0.999908066,0,0.918759453
2724,0.752296194,0.299861043,0,0.872208088,0,0.999928672,0,0.91876733
2725,0.75258322,0.298955578,0,0.872196511,0,0.999914406,0,0.918771269
2726,0.751435115,0.297261195,0,0.8722023,0,0.999925501,0,0.918775208
2727,0.750574035,0.296938455,0,0.872231243,0,0.999936597,0,0.918777177
2728,0.750574035,0.296409521,0,0.8722023,0,0.999922331,0,0.918773239
2729,0.751435115,0.298345959,0,0.872213877,0,0.999930257,0,0.918781116
2730,0.753157273,0.303447039,0,0.872216771,0,0.999935012,0,0.918777177
2731,0.75258322,0.300228607,0,0.872208088,0,0.999922331,0,0.918773239
2732,0.750574035,0.297951499,0,0.872205194,0,0.999917576,0,0.91876733
2733,0.750287009,0.298283204,0,0.872199406,0,0.999930257,0,0.918763392
2734,0.752296194,0.301582321,0,0.872187828,0,0.999922331,0,0.918751575
2735,0.752870247,0.300228607,0,0.872190723,0,0.999912821,0,0.918759453
2736,0.752009167,0.301447846,0,0.872213877,0,0.999920746,0,0.918779147
2737,0.75258322,0.301035457,0,0.872208088,0,0.999925501,0,0.9187693
2738,0.752296194,0.297906674,0,0.872213877,0,0.999925501,0,0.9187693
2739,0.752009167,0.299789323,0,0.872190723,0,0.999933427,0,0.918773239
2740,0.753157273,0.304881438,0,0.872208088,0,0.999922331,0,0.918771269
2741,0.7534443,0.304235959,0,0.872213877,0,0.999931842,0,0.918777177
2742,0.754018352,0.303536689,0,0.872216771,0,0.999928672,0,0.918781116
2743,0.754879432,0.304513873,0,0.872210983,0,0.999930257,0,0.918773239
2744,0.754879432,0.30220987,0,0.872193617,0,0.999919161,0,0.91876733
2745,0.754305379,0.300282397,0,0.872205194,0,0.999919161,0,0.918771269
2746,0.754305379,0.299421758,0,0.872187828,0,0.999914406,0,0.918757484
2747,0.75258322,0.298166659,0,0.8722023,0,0.999925501,0,0.918763392
2748,0.752296194,0.295019947,0,0.872208088,0,0.999920746,0,0.918777177
2749,0.752296194,0.299063158,0,0.872213877,0,0.999920746,0,0.918773239
2750,0.7534443,0.301277511,0,0.872213877,0,0.999935012,0,0.918771269
2751,0.754879432,0.300981667,0,0.872205194,0,0.999917576,0,0.918763392
2752,0.753731326,0.299143843,0,0.8722023,0,0.999922331,0,0.918771269
2753,0.753731326,0.298292169,0,0.872210983,0,0.999919161,0,0.918775208
2754,0.75258322,0.298103904,0,0.872199406,0,0.999920746,0,0.918773239
2755,0.75258322,0.294831682,0,0.872205194,0,0.999928672,0,0.91876733
2756,0.752296194,0.299152808,0,0.872187828,0,0.999922331,0,0.918765361
2757,0.752009167,0.298220449,0,0.872199406,0,0.999920746,0,0.918757484
2758,0.75258322,0.298372854,0,0.8722023,0,0.999928672,0,0.918773239
2759,0.752009167,0.299601058,0,0.872193617,0,0.999923916,0,0.918771269
2760,0.75258322,0.298372854,0,0.87222256,0,0.999923916,0,0.918785055
2761,0.752870247,0.301044422,0,0.8722023,0,0.999922331,0,0.918777177
2762,0.753157273,0.297745305,0,0.872205194,0,0.999920746,0,0.918777177
2763,0.7534443,0.299359003,0,0.872219666,0,0.999928672,0,0.918790963
2764,0.75258322,0.301411986,0,0.872216771,0,0.999925501,0,0.918763392
2765,0.75258322,0.299771393,0,0.872205194,0,0.999919161,0,0.91876733
2766,0.752296194,0.298632839,0,0.8722023,0,0.999912821,0,0.918763392
2767,0.752009167,0.300838227,0,0.872190723,0,0.999917576,0,0.918755514
2768,0.754592405,0.305751042,0,0.872196511,0,0.999928672,0,0.9187693
2769,0.754305379,0.301143036,0,0.872196511,0,0.999931842,0,0.9187693
2770,0.753157273,0.303097405,0,0.872205194,0,0.999935012,0,0.918779147
2771,0.754592405,0.3025864,0,0.872210983,0,0.999938182,0,0.918777177
2772,0.755166458,0.301860236,0,0.872199406,0,0.999928672,0,0.918771269
2773,0.755740511,0.3031243,0,0.87222256,0,0.999935012,0,0.918781116
2774,0.755453485,0.301420951,0,0.872225454,0,0.999928672,0,0.918779147
2775,0.754592405,0.301394056,0,0.872193617,0,0.999920746,0,0.918775208
2776,0.754879432,0.299072123,0,0.872210983,0,0.999920746,0,0.918771269
2777,0.753157273,0.296454346,1,0.866164796,1,0.999754313,1,0.918306497
2778,0.754305379,0.301654041,1,0.845406895,1,0.997099308,1,0.914604077
2779,0.754879432,0.298946613,1,0.828481044,1,0.994672555,1,0.911407786
2780,0.754305379,0.298695594,1,0.809639168,1,0.9915024,1,0.907218931
2781,0.754592405,0.300255502,1,0.789882694,1,0.988666696,1,0.903477124
2782,0.755166458,0.299314178,1,0.773089981,1,0.986328707,1,0.900487617
2783,0.755166458,0.298399749,1,0.748774989,1,0.983156967,1,0.896259374
2784,0.754879432,0.297368775,1,0.730381729,1,0.980627183,1,0.893157613
2785,0.754592405,0.299547268,1,0.705314219,1,0.977306446,1,0.888858473
2786,0.711538441,0.002572953,1,0.682292978,1,0.973979369,1,0.884815352
2787,0.55424796,0.00043032,1,0.662698585,1,0.971430564,1,0.881402429
2788,0.398105584,0.000313775,1,0.640881371,1,0.968349174,1,0.877642898
2789,0.285336976,0.000295845,1,0.620227665,1,0.964546573,1,0.874082272
2790,0.227583255,0.000421355,1,0.597270099,1,0.962313199,1,0.870241996
2791,0.172567192,0.00025102,1,0.576839254,1,0.957786217,1,0.866671524
2792,0.136643553,0.00028688,1,0.558940919,1,0.95527704,1,0.863589457
2793,0.104925669,0.00037653,1,0.53343637,1,0.951720126,1,0.859113073
2794,0.082550244,0.000403425,1,0.51659156,1,0.950610572,1,0.856324442
2795,0.069230582,0.00041239,1,0.494699094,1,0.946887225,1,0.852578696
2796,0.057223183,0.0005379,1,0.470708264,1,0.942727982,1,0.848513912
2797,0.048400992,0.000546864,1,0.449082074,1,0.940066637,1,0.844748472
2798,0.041467603,0.00050204,1,0.428474676,1,0.937268975,1,0.841315856
2799,0.036154467,0.000313775,1,0.405502638,1,0.935433455,1,0.83738105
2800,0.03288373,0.000421355,1,0.385966131,1,0.931627684,1,0.833999638
